clinician_id,insurer,status,effective_date,expiration_date
1,Medicaid,Active,2022-02-04,2024-04-01
1,Medicare,Active,2022-11-16,2025-04-25
1,BCBS,Active,2022-11-11,2024-04-09
1,Sanford,Active,2022-01-25,2023-10-19
1,Aetna,Active,2022-02-03,2024-08-26
1,Cigna,Active,2022-02-16,2024-07-10
2,Medicaid,Active,2022-07-10,2024-07-29
2,Medicare,Expired,2022-03-24,2024-03-29
2,BCBS,Active,2022-07-01,2024-04-13
2,Sanford,Active,2022-07-16,2024-07-28
2,Aetna,Expired,2022-06-02,2023-08-24
2,Cigna,Active,2022-12-24,2024-10-09
3,Medicaid,Active,2022-09-25,2024-10-10
3,Medicare,Active,2022-01-25,2023-08-03
3,BCBS,Active,2022-02-10,2024-01-30
3,Sanford,Active,2022-02-13,2024-05-13
3,Aetna,Active,2022-07-08,2024-06-03
3,Cigna,Active,2022-09-11,2025-02-11
4,Medicaid,Active,2022-01-08,2024-04-13
4,Medicare,Expired,2022-05-11,2024-07-21
4,BCBS,Active,2022-12-15,2024-09-21
4,Sanford,Active,2022-07-24,2024-04-16
4,Aetna,Termed,2022-03-04,2024-05-16
4,Cigna,Active,2022-01-14,2024-04-05
5,Medicaid,Active,2022-06-24,2023-06-17
5,Medicare,Active,2022-07-11,2024-09-15
5,BCBS,Active,2022-07-15,2024-09-14
5,Sanford,Expired,2022-02-01,2024-02-20
5,Aetna,Active,2022-03-22,2024-05-21
5,Cigna,Active,2022-02-09,2023-10-12
6,Medicaid,Active,2022-08-14,2024-05-29
6,Medicare,Active,2022-10-18,2024-12-02
6,BCBS,Active,2022-11-19,2024-10-24
6,Sanford,Active,2022-02-26,2023-11-30
6,Aetna,Active,2022-12-24,2024-11-13
6,Cigna,Active,2022-09-06,2024-09-09
7,Medicaid,Active,2022-07-10,2024-10-20
7,Medicare,Expired,2022-11-07,2025-03-18
7,BCBS,Active,2022-12-10,2025-06-01
7,Sanford,Active,2022-07-07,2024-10-02
